Mike Johnson	@RepMikeJohnson	https://twitter.com/RepMikeJohnson
Mike Kelly	@MikeKellyPA	https://twitter.com/MikeKellyPA
Mike Simpson	@CongMikeSimpson	https://twitter.com/CongMikeSimpson
Mo Brooks	@RepMoBrooks	https://twitter.com/RepMoBrooks
Neal Dunn	@drnealdunnfl2	https://twitter.com/drnealdunnfl2
Ralph Abraham	@RepAbraham	https://twitter.com/RepAbraham
Ralph Norman	@RepRalphNorman	https://twitter.com/RepRalphNorman
Randy Weber	@TXRandy14	https://twitter.com/TXRandy14
Richard Hudson	@RepRichHudson	https://twitter.com/RepRichHudson
Rick Crawford	@RepRickCrawford	https://twitter.com/RepRickCrawford
Rick W. Allen	@reprickallen	https://twitter.com/reprickallen
Rob Wittman	@RobWittman	https://twitter.com/RobWittman
Robert Aderholt	@Robert_Aderholt	https://twitter.com/Robert_Aderholt
Robert E. Latta	@boblatta	https://twitter.com/boblatta
Roger Marshall	@RepMarshall	https://twitter.com/RepMarshall
Roger Williams	@RepRWilliams	https://twitter.com/RepRWilliams
Ron Estes	@RepRonEstes	https://twitter.com/RepRonEstes
Ron Wright	@RepRonWright	https://twitter.com/RepRonWright
Ross Spano	@RepRossSpano	https://twitter.com/RepRossSpano
Russ Fulcher	@RepRussFulcher	https://twitter.com/RepRussFulcher
Sam Graves	@RepSamGraves	https://twitter.com/RepSamGraves
Scott DesJarlais	@DesJarlaisTN04	https://twitter.com/DesJarlaisTN04
Scott Perry	@RepScottPerry	https://twitter.com/RepScottPerry
Steve King	@SteveKingIA	https://twitter.com/SteveKingIA
Steve King	@SteveKingIA	https://twitter.com/SteveKingIA
Steve Scalise	@SteveScalise	https://twitter.com/SteveScalise
Ted Budd	@RepTedBudd	https://twitter.com/RepTedBudd
Ted Yoho	@RepTedYoho	https://twitter.com/RepTedYoho
Tim Burchett	@RepTimBurchett	https://twitter.com/RepTimBurchett
Tim Walberg	@RepWalberg	https://twitter.com/RepWalberg
Tom Emmer	@RepTomEmmer	https://twitter.com/RepTomEmmer
Tom McClintock	@RepMcClintock	https://twitter.com/RepMcClintock
Tom Rice	@RepTomRice	https://twitter.com/RepTomRice
Tom Tiffany	@TomTiffanyWI	https://twitter.com/TomTiffanyWI
Trent Kelly	@reptrentkelly	https://twitter.com/reptrentkelly
Trey Hollingsworth	@reptrey	https://twitter.com/reptrey
Vicky Hartzler	@RepHartzler	https://twitter.com/RepHartzler
Vicky Hartzler	@RepHartzler	https://twitter.com/RepHartzler
Virginia Foxx	@VirginiaFoxx	https://twitter.com/VirginiaFoxx
William Timmons	@RepTimmons	https://twitter.com/RepTimmons
